[0] MPI startup(): I_MPI_OFA_TRANSLATION_CACHE variable has been removed from the product, its value is ignored

src,dst,lat(us),bandwidth((Mbytes/sec)
12,29,1.01,12041.913884 
12,30,1.01,12030.014743 
12,31,1.01,12037.184220 
12,32,1.02,12031.382225 
12,33,1.01,12038.288656 
12,34,1.01,12038.197751 
12,35,1.02,12043.098893 
12,36,1.02,12031.105811 
12,37,1.01,12040.307409 
12,38,1.01,12047.000929 
12,39,1.02,12037.190655 
12,40,1.01,12041.009988 
12,41,1.02,12036.149147 
12,42,1.02,12021.192244 
12,43,1.01,12039.542150 
12,44,1.01,12030.941897 
12,45,1.01,12038.490581 
12,46,1.01,12043.945931 
12,47,1.02,12037.325783 
12,48,1.01,12044.060275 
12,49,1.01,12026.506671 
12,50,1.01,12030.335294 
12,51,1.01,12042.335694 
12,52,1.01,12039.397317 
12,53,1.01,12036.621221 
12,54,1.02,12034.065867 
12,55,1.02,12039.601694 
13,0,1.03,12039.487435 
13,1,1.02,12047.041210 
13,2,1.02,12048.431906 
13,3,1.02,12038.376344 
13,4,1.02,12046.826914 
13,5,1.02,12046.464400 
13,6,1.02,12041.302149 
13,7,1.02,12046.838998 
13,8,1.02,12045.051608 
13,9,1.02,12048.592267 
13,10,1.01,12039.790788 
13,11,1.01,12044.301852 
13,12,1.01,12045.525187 
13,14,1.02,12040.854657 
13,15,1.01,12048.699446 
13,16,1.02,12012.962636 
13,17,1.02,12041.639400 
13,18,1.02,12040.227740 
13,19,1.01,12050.431492 
13,20,1.02,12046.785828 
13,21,1.02,12048.106361 
13,22,1.01,12041.734381 
13,23,1.02,12047.189450 
13,24,1.02,12050.591906 
13,25,1.02,12035.874122 
13,26,1.02,12047.022681 
13,27,1.02,12039.267775 
13,28,1.01,12038.987781 
13,29,1.02,12051.324710 
13,30,1.02,12046.442650 
13,31,1.02,12042.171475 
13,32,1.02,12050.605610 
13,33,1.02,12056.516539 
13,34,1.03,12044.884898 
13,35,1.02,12040.225326 
13,36,1.02,12049.570645 
13,37,1.02,12043.353314 
13,38,1.01,12044.392848 
13,39,1.02,12044.481430 
13,40,1.02,12037.834952 
13,41,1.02,12048.109584 
13,42,1.02,12042.959610 
13,43,1.02,12051.150570 
13,44,1.02,12054.105173 
13,45,1.02,12044.519280 
13,46,1.02,12047.344139 
13,47,1.02,12041.863172 
13,48,1.02,12047.249069 
13,49,1.02,12049.923674 
13,50,1.02,12045.918253 
13,51,1.02,12046.977565 
13,52,1.02,12043.211610 
13,53,1.02,12047.286936 
13,54,1.02,12035.539606 
13,55,1.02,12041.557299 
14,0,1.03,12032.565966 
14,1,1.02,12043.957205 
14,2,1.02,12036.684757 
14,3,1.02,12037.056334 
14,4,1.02,12042.170670 
14,5,1.02,12042.223799 
14,6,1.02,12032.474344 
14,7,1.02,12041.045400 
14,8,1.02,12050.329119 
14,9,1.02,12043.550578 
14,10,1.02,12042.888762 
14,11,1.02,12040.522278 
14,12,1.02,12046.847054 
14,13,1.02,12044.674705 
14,15,1.02,12039.382834 
14,16,1.02,12041.014012 
14,17,1.02,12041.102544 
14,18,1.01,12041.070351 
14,19,1.01,12040.116689 
14,20,1.02,12042.884737 
14,21,1.01,12040.393517 
14,22,1.02,12043.648005 
14,23,1.02,12047.074242 
14,24,1.02,12048.052373 
14,25,1.02,12046.304900 
14,26,1.03,12042.393656 
14,27,1.02,12041.089667 
14,28,1.02,12046.213875 
14,29,1.02,12039.578359 
14,30,1.02,12044.855100 
14,31,1.02,12045.592844 
14,32,1.02,12042.869440 
14,33,1.02,12039.457664 
14,34,1.03,12041.930788 
14,35,1.03,12040.642190 
14,36,1.02,12047.017041 
14,37,1.03,12043.215636 
14,38,1.02,12043.099698 
14,39,1.02,12049.833400 
14,40,1.02,12046.251735 
14,41,1.03,12040.633337 
14,42,1.02,12045.554183 
14,43,1.02,12047.348973 
14,44,1.02,12049.588377 
14,45,1.02,12034.540994 
14,46,1.02,12044.791478 
14,47,1.02,12033.795761 
14,48,1.02,12036.470829 
14,49,1.02,12042.416196 
14,50,1.03,12045.242485 
14,51,1.02,12043.105334 
14,52,1.02,12046.484539 
14,53,1.03,12042.821941 
14,54,1.02,12039.316856 
14,55,1.02,12039.361110 
15,0,1.03,12036.709689 
15,1,1.02,12042.245534 
15,2,1.01,12043.352509 
15,3,1.02,12044.896173 
15,4,1.01,12046.087408 
15,5,1.02,12042.980543 
15,6,1.02,12044.070743 
15,7,1.01,12039.666066 
15,8,1.01,12038.976517 
15,9,1.02,12047.377172 
15,10,1.01,12039.716759 
15,11,1.01,12045.311750 
15,12,1.01,12047.207175 
15,13,1.01,12048.020948 
15,14,1.01,12036.946146 
15,16,1.02,12044.789062 
15,17,1.02,12044.896978 
15,18,1.01,12050.858736 
15,19,1.01,12050.770867 
15,20,1.01,12050.691866 
15,21,1.01,12040.131978 
15,22,1.02,12045.416454 
15,23,1.01,12048.430294 
15,24,1.01,12049.597243 
15,25,1.02,12046.128489 
15,26,1.02,12041.971841 
15,27,1.01,12047.604379 
15,28,1.01,12043.868630 
15,29,1.01,12045.825622 
15,30,1.01,12048.398867 
15,31,1.02,12054.438302 
15,32,1.02,12047.238595 
15,33,1.02,12046.109963 
15,34,1.02,12033.874540 
15,35,1.01,12043.166523 
15,36,1.02,12055.982389 
15,37,1.02,12043.311447 
15,38,1.01,12041.253857 
15,39,1.02,12037.588003 
15,40,1.02,12049.275665 
15,41,1.02,12031.559811 
15,42,1.01,12047.358641 
15,43,1.01,12042.119955 
15,44,1.02,12047.090355 
15,45,1.01,11959.571322 
15,46,1.01,12049.064512 
15,47,1.02,12046.049549 
15,48,1.01,12038.318421 
15,49,1.02,12039.629052 
15,50,1.02,12044.479820 
15,51,1.01,12044.156099 
15,52,1.01,12044.631218 
15,53,1.02,12043.335601 
15,54,1.01,12038.076280 
15,55,1.02,12046.595708 
16,0,1.03,12045.761184 
16,1,1.02,12049.081436 
16,2,1.02,12039.418237 
16,3,1.03,12049.863223 
16,4,1.02,12051.393238 
16,5,1.02,12044.887314 
16,6,1.02,12054.351187 
16,7,1.02,12044.855906 
16,8,1.02,12041.733577 
16,9,1.02,12050.712019 
16,10,1.02,12050.263827 
16,11,1.02,12048.493955 
16,12,1.02,12047.737324 
16,13,1.02,12049.365124 
16,14,1.02,12042.805034 
16,15,1.01,12049.793906 
16,17,1.02,12053.854331 
16,18,1.01,12044.399291 
